Animal,Day,Outcome,Side,SpikeCount,Times,ViterbiGuess
5.0,3.0,0.0,0.0,0.0,36.4394560000001,3.0
5.0,3.0,1.0,1.0,21.0,46.8790949999993,3.0
5.0,3.0,0.0,1.0,1.0,36.840596,3.0
5.0,3.0,1.0,0.0,19.0,47.2794430000004,3.0
5.0,4.0,0.0,1.0,0.0,34.7625989999997,2.0
5.0,4.0,1.0,0.0,5.0,55.5614340000002,2.0
5.0,4.0,0.0,0.0,1.0,35.721098,2.0
5.0,4.0,0.0,0.0,3.0,33.9595509999999,2.0
5.0,4.0,0.0,0.0,15.0,36.7611779999997,2.0
5.0,4.0,1.0,1.0,6.0,35.7600309999998,2.0
5.0,4.0,0.0,1.0,8.0,35.8393740000001,2.0
5.0,4.0,1.0,0.0,3.0,36.9203219999999,2.0
5.0,4.0,0.0,0.0,4.0,38.0815310000007,2.0
5.0,4.0,1.0,1.0,14.0,35.7603770000005,2.0
5.0,4.0,0.0,1.0,7.0,40.0789059999997,2.0
5.0,4.0,1.0,0.0,2.0,36.9996070000007,2.0
5.0,5.0,0.0,0.0,0.0,34.8389939999997,1.0
5.0,5.0,0.0,0.0,0.0,45.1992579999996,1.0
5.0,5.0,0.0,0.0,12.0,34.0391669999999,1.0
5.0,5.0,0.0,0.0,25.0,35.0006759999997,1.0
5.0,5.0,0.0,0.0,1.0,36.2401449999998,1.0
5.0,5.0,1.0,1.0,5.0,33.5621020000008,1.0
5.0,5.0,0.0,1.0,0.0,36.7590760000003,1.0
5.0,5.0,0.0,1.0,1.0,36.4390050000002,1.0
5.0,5.0,0.0,1.0,2.0,37.080371,1.0
5.0,5.0,0.0,1.0,37.0,36.959519,1.0
5.0,5.0,0.0,1.0,0.0,38.600351,1.0
5.0,5.0,0.0,1.0,4.0,38.3220339999998,1.0
5.0,5.0,1.0,0.0,21.0,36.2413799999995,1.0
5.0,5.0,0.0,0.0,8.0,37.9580839999999,1.0
3.0,1.0,0.0,1.0,16.0,34.7584399999996,2.0
3.0,1.0,1.0,0.0,8.0,36.5997079999997,2.0
3.0,1.0,0.0,0.0,34.0,61.2811459999994,2.0
3.0,1.0,0.0,0.0,14.0,41.5197490000028,2.0
3.0,1.0,1.0,1.0,12.0,34.6814329999979,3.0
3.0,1.0,1.0,0.0,9.0,47.5613239999984,3.0
3.0,1.0,1.0,1.0,6.0,36.0008990000024,3.0
3.0,1.0,1.0,0.0,15.0,34.7609740000007,3.0
3.0,1.0,1.0,1.0,5.0,34.440082000001,3.0
3.0,1.0,1.0,0.0,6.0,36.2390650000016,3.0
3.0,1.0,0.0,0.0,131.0,43.0001699999993,3.0
3.0,1.0,0.0,0.0,9.0,35.4415499999996,3.0
3.0,1.0,0.0,0.0,150.0,86.4808669999984,3.0
3.0,2.0,1.0,1.0,9.0,34.44031,2.0
3.0,2.0,1.0,0.0,15.0,38.5192509999997,2.0
3.0,2.0,0.0,0.0,6.0,36.3227569999999,1.0
3.0,2.0,0.0,0.0,45.0,41.4400329999999,1.0
3.0,2.0,0.0,0.0,18.0,47.0014389999997,1.0
3.0,2.0,0.0,0.0,58.0,130.999079,1.0
3.0,2.0,0.0,0.0,17.0,81.4386800000002,1.0
3.0,2.0,0.0,0.0,22.0,38.4404600000007,1.0
3.0,2.0,0.0,0.0,13.0,38.0405639999999,1.0
3.0,2.0,0.0,0.0,17.0,34.9599410000001,1.0
3.0,2.0,0.0,0.0,11.0,37.3594999999996,1.0
3.0,2.0,0.0,0.0,4.0,34.7584050000005,1.0
3.0,3.0,0.0,0.0,7.0,39.9199039999994,1.0
3.0,3.0,0.0,0.0,28.0,32.7207120000003,1.0
3.0,3.0,0.0,0.0,29.0,49.000524,1.0
3.0,3.0,0.0,0.0,88.0,36.5593830000007,1.0
3.0,3.0,0.0,0.0,10.0,41.9189890000007,1.0
3.0,3.0,1.0,1.0,44.0,82.5202589999999,1.0
3.0,3.0,0.0,1.0,10.0,62.2816519999997,1.0
3.0,3.0,1.0,0.0,103.0,47.6400620000004,1.0
3.0,3.0,0.0,0.0,18.0,37.1617370000004,1.0
3.0,3.0,0.0,0.0,105.0,34.6817599999995,1.0
3.0,3.0,1.0,1.0,17.0,57.0000579999996,1.0
3.0,3.0,1.0,0.0,42.0,73.52016,1.0
3.0,3.0,0.0,0.0,32.0,43.4394920000004,1.0
3.0,4.0,1.0,1.0,5.0,39.9614149999998,2.0
3.0,4.0,1.0,0.0,83.0,36.3999860000004,2.0
3.0,4.0,0.0,0.0,56.0,34.5206839999992,2.0
3.0,4.0,0.0,0.0,0.0,33.7594930000014,2.0
3.0,4.0,0.0,0.0,13.0,35.6009129999984,2.0
3.0,4.0,1.0,1.0,27.0,33.8410879999974,3.0
3.0,4.0,1.0,0.0,4.0,42.6814640000011,3.0
3.0,4.0,0.0,0.0,19.0,39.1217519999991,3.0
3.0,4.0,1.0,1.0,20.0,34.8792009999997,3.0
3.0,4.0,1.0,0.0,13.0,43.4395409999997,3.0
3.0,4.0,1.0,1.0,11.0,35.0010669999974,3.0
3.0,4.0,1.0,0.0,14.0,35.3223069999985,3.0
3.0,5.0,1.0,0.0,78.0,32.5181939999993,2.0
3.0,5.0,0.0,0.0,30.0,35.4791279999999,2.0
3.0,5.0,1.0,0.0,7.0,33.557984,2.0
3.0,5.0,0.0,0.0,35.0,35.6002589999998,1.0
3.0,5.0,0.0,0.0,148.0,35.7195080000001,1.0
3.0,5.0,0.0,0.0,13.0,43.2383879999998,1.0
3.0,5.0,0.0,0.0,171.0,34.0417349999998,1.0
3.0,5.0,1.0,1.0,5.0,34.5196040000001,1.0
3.0,5.0,0.0,1.0,15.0,37.9598269999997,1.0
3.0,5.0,0.0,1.0,47.0,35.5601639999995,1.0
3.0,5.0,0.0,1.0,75.0,39.8796560000001,1.0
3.0,5.0,0.0,1.0,65.0,36.9600700000001,1.0
3.0,5.0,1.0,0.0,12.0,35.0004939999999,3.0
3.0,5.0,1.0,1.0,143.0,34.3181039999999,3.0
3.0,5.0,1.0,0.0,8.0,37.8791500000007,3.0
4.0,1.0,0.0,0.0,3.0,48.5203310000006,2.0
4.0,1.0,0.0,0.0,0.0,34.1586189999998,2.0
4.0,1.0,1.0,1.0,1.0,36.6006030000008,3.0
4.0,1.0,1.0,0.0,4.0,47.8784080000005,3.0
4.0,1.0,0.0,0.0,1.0,33.9597589999994,3.0
4.0,1.0,1.0,1.0,0.0,32.7195380000003,3.0
4.0,1.0,0.0,1.0,3.0,35.6409200000007,3.0
4.0,1.0,1.0,0.0,0.0,38.8400649999994,3.0
4.0,1.0,1.0,1.0,15.0,38.319751,3.0
4.0,1.0,0.0,1.0,0.0,34.6799520000004,3.0
4.0,1.0,1.0,0.0,0.0,36.7993259999994,3.0
4.0,1.0,1.0,1.0,18.0,37.7592189999996,3.0
4.0,2.0,0.0,0.0,1.0,35.3575660000006,2.0
4.0,2.0,0.0,0.0,1.0,33.9594619999998,2.0
4.0,2.0,1.0,1.0,3.0,38.9602539999996,2.0
4.0,2.0,1.0,0.0,2.0,35.640641,2.0
4.0,2.0,0.0,0.0,2.0,36.9990880000005,2.0
4.0,2.0,1.0,1.0,2.0,34.7589660000003,2.0
4.0,2.0,1.0,0.0,2.0,41.2415530000007,2.0
4.0,2.0,0.0,0.0,2.0,34.4796120000001,1.0
4.0,2.0,0.0,0.0,2.0,33.7983320000003,1.0
4.0,2.0,0.0,0.0,10.0,33.8798999999999,1.0
4.0,2.0,0.0,0.0,11.0,35.360068,1.0
4.0,2.0,0.0,0.0,20.0,37.4411769999997,1.0
4.0,3.0,0.0,0.0,9.0,42.401734,2.0
4.0,3.0,0.0,0.0,5.0,34.1194160000005,2.0
4.0,3.0,1.0,1.0,5.0,35.7223329999997,2.0
4.0,3.0,1.0,0.0,4.0,36.760859,2.0
4.0,3.0,0.0,0.0,4.0,33.4402140000002,2.0
4.0,3.0,0.0,0.0,6.0,38.4011830000009,2.0
4.0,3.0,0.0,0.0,9.0,33.038243,2.0
4.0,3.0,1.0,1.0,7.0,33.1995930000003,2.0
4.0,3.0,1.0,0.0,4.0,35.0407129999994,2.0
4.0,3.0,0.0,0.0,7.0,34.0007969999997,2.0
4.0,3.0,0.0,0.0,3.0,40.359453,2.0
4.0,3.0,1.0,1.0,1.0,33.5600459999996,2.0
4.0,4.0,1.0,1.0,9.0,33.4407769999998,2.0
4.0,4.0,1.0,0.0,9.0,39.4394379999994,3.0
4.0,4.0,0.0,0.0,4.0,42.0005759999995,3.0
4.0,4.0,1.0,1.0,2.0,32.6799469999996,3.0
4.0,4.0,1.0,0.0,3.0,36.5203739999997,3.0
4.0,4.0,1.0,1.0,8.0,35.7994369999997,3.0
4.0,4.0,1.0,0.0,8.0,34.0008930000004,3.0
4.0,4.0,0.0,0.0,10.0,35.8021939999999,3.0
4.0,4.0,1.0,1.0,7.0,33.9177879999997,3.0
4.0,4.0,1.0,0.0,7.0,36.8016249999991,3.0
4.0,4.0,1.0,1.0,22.0,33.3188089999994,3.0
4.0,4.0,1.0,0.0,11.0,37.0798019999993,3.0
4.0,5.0,1.0,1.0,2.0,34.1589399999993,2.0
4.0,5.0,1.0,0.0,1.0,42.198832,2.0
4.0,5.0,0.0,0.0,3.0,34.6392819999992,2.0
4.0,5.0,1.0,1.0,3.0,34.320557,2.0
4.0,5.0,0.0,1.0,6.0,36.5192620000007,2.0
4.0,5.0,0.0,1.0,1.0,33.2794089999998,2.0
4.0,5.0,1.0,0.0,1.0,33.880717,2.0
4.0,5.0,1.0,1.0,6.0,34.0401090000005,2.0
4.0,5.0,1.0,0.0,9.0,36.5998930000005,2.0
4.0,5.0,0.0,0.0,4.0,35.6814020000002,2.0
